Trade Date,Maturity Date,Tenor,Face Value (GHS),Coupon Rate(%),AVG Price(%),Settlement Amount (GHS)
22/03/2011,03/11/2013,13s,14000000,14.99,0,0
23/03/2011,03/11/2013,13s,25150000,14.99,0,0
23/03/2011,14/01/2013,13s,144000,19,0,0
24/03/2011,03/11/2013,13s,25900000,14.99,0,0
29/03/2011,17/02/2014,14s,5000000,13.45,0,0
30/03/2011,03/11/2013,13s,3300000,14.99,0,0
31/03/2011,03/11/2013,13s,1600000,14.99,0,0
04/04/2011,03/11/2013,13s,600000,14.99,0,0
05/04/2011,14/01/2013,13s,3150000,19,0,0
11/04/2011,06/03/2013,13s,2050000,15.65,0,0
11/04/2011,03/11/2013,13s,7800000,14.99,0,0
12/04/2011,03/11/2013,13s,2162000,14.99,0,0
15/04/2011,03/11/2013,13s,2000000,14.99,0,0
15/04/2011,17/02/2014,14s,5000000,13.45,0,0
18/04/2011,15/12/2011,11s,5000000,14.47,0,0
19/04/2011,15/12/2011,11s,2114700,14.47,0,0
20/04/2011,15/12/2011,11s,7135300,14.47,0,0
20/04/2011,14/01/2013,13s,40000,19,0,0
21/04/2011,03/11/2013,13s,5000000,14.99,0,0
26/04/2011,03/11/2013,13s,5000000,14.99,0,0
27/04/2011,17/02/2014,14s,15100000,13.45,0,0
27/04/2011,03/11/2013,13s,5000000,14.99,0,0
28/04/2011,17/02/2014,14s,5000000,13.45,0,0
28/04/2011,15/12/2011,11s,750000,14.47,0,0
03/05/2011,03/11/2013,13s,1000000,14.99,0,0
03/05/2011,12/10/2012,12s,1350000,15,0,0
03/05/2011,28/04/2014,14s,325010000,12.39,0,0
03/05/2011,17/02/2014,14s,5000000,13.45,0,0
04/05/2011,28/04/2014,14s,12500000,12.39,0,0
06/05/2011,14/01/2013,13s,14320000,19,0,0
06/05/2011,06/03/2013,13s,1560000,15.65,0,0
09/05/2011,17/02/2014,14s,5550000,13.45,0,0
11/05/2011,14/01/2013,13s,5000000,19,0,0
16/05/2011,14/01/2013,13s,5000000,19,0,0
18/05/2011,14/01/2013,13s,5000000,19,0,0
18/05/2011,03/11/2013,13s,2800000,14.99,0,0
19/05/2011,14/01/2013,13s,5000000,19,0,0
19/05/2011,06/03/2013,13s,15000000,15.65,0,0
24/05/2011,28/04/2014,14s,5000000,12.39,0,0
24/05/2011,17/02/2014,14s,5100000,13.45,0,0
26/05/2011,03/11/2013,13s,100000,14.99,0,0
27/05/2011,30/09/2013,13s,9800000,13.3,0,0
31/05/2011,30/09/2013,13s,9800000,13.3,0,0
01/06/2011,17/02/2014,14s,1500000,13.45,0,0
03/06/2011,30/09/2013,13s,10000000,13.3,0,0
06/06/2011,03/11/2013,13s,3150000,14.99,0,0
06/06/2011,30/09/2013,13s,1800000,13.3,0,0
06/06/2011,28/04/2014,14s,5000000,12.39,0,0
06/06/2011,06/02/2014,14s,83375000,13,0,0
07/06/2011,06/02/2014,14s,31000000,13,0,0
08/06/2011,06/02/2014,14s,54400000,13,0,0
09/06/2011,06/02/2014,14s,28000000,13,0,0
