Date,Institution,91D,182D,364D,2Yr,3Yr,5Yr,6Yr,7Yr,10Yr,15Yr,20Yr,7Yr ESLA,10Yr ESLA,12Yr ESLA,Total
01/11/2019,Foreign investors,263395,328508,221976,1401491966,3935574056,8508857341,213703286,1844121413,5309549197,4075604300,10495000,29382242,52300,,25329644980
01/11/2019,rural banks,292515979,136462804,72027536,50149459,58656234,9194641,,3262335,,489891,4884923,,,,627643802
01/11/2019,SSNIT,2667795,7281249,48085017,83358369,32110550,6543007,,7262300,19689837,,,64170651,115762685,,386931460
01/11/2019,Pension,,,67792634,448539126,544381681,907714219,81129336,321380914,1810845233,797571960,3897282,228485726,499905650,,5711643761
01/11/2019,others,4786402414,972237011,350591521,920959783,441889588,490911654,319856189,109532658,111872015,23897169,39540816,134500073,693781988,,9395972879
01/11/2019,Total,7071658429,3235690836,5826786038,11362777158,12424090481,15329301432,1780734816,4580802038,8665116177,5812651561,162131557,2259566936,3740433064,,82251740523
01/12/2019,BoG,3544382,1333000,2032925,2130076,102643121,165329167,10000,,2434799,250055000,,57028843,,,586541313
01/12/2019,Commercial Banks,702174616,524971048,4034253534,7583462465,4247507135,2771427938,308969789,1529186164,464134565,446668964,92884673,1110160374,1418283318,,25234084583
01/12/2019,Firms/Inst,1251821436,1113431399,1762533341,3000808736,3093832984,2622719667,356018560,607992349,835071669,163131211,31532389,595681376,935401011,,16369976128
01/12/2019,Insurance companies,12050038,82595298,13463087,50646719,72350779,110647155,36925019,68344290,102693865,27001000,,35789032,51932317,,664438599
01/12/2019,Foreign investors,152347,363802,221976,1367481064,4307085588,8582489596,673088286,1944080413,5330164957,4074439079,10495000,29382242,52300,,26319496650
01/12/2019,rural banks,331121417,137962255,79880550,52628767,69222367,18051490,,3262335,,489891,4884923,,,,697503995
01/12/2019,SSNIT,1016169,1838926,4844895,70404168,35192550,10000000,,17312300,,,,68877285,122270000,,331756293
01/12/2019,Pension,,,69212107,452529402,546624060,985938868,81129336,282459723,1811228961,812326960,3643000,228485726,519763179,,5793341322
01/12/2019,others,4851545831,980160637,378450073,945969171,455131285,541347907,324593826,128164464,119387361,38539456,18691572,134162058,692730939,,9608874580
01/12/2019,Total,7153426236,2842656365,6344892488,13526060568,12929589869,15807951788,1780734816,4580802038,8665116177,5812651561,162131557,2259566936,3740433064,,85606013463
01/01/2020,BoG,18364234,53125565,45279359,2271476,102844121,165329167,10000,21500,2434799,250055000,,57028843,,,696764064
01/01/2020,Commercial Banks,689509577,514335158,4956351630,7425285368,4285625133,2665288548,236782505,1507910722,437620710,4847150018,72274667,1030497639,1464021429,181190395,30132653104
01/01/2020,Firms/Inst,1364452129,1088231767,1435398106,3088825150,3244916600,2480453406,364531699,601381527,838681669,163309415,45372043,600646735,920239353,203638679,16236439599
01/01/2020,Insurance companies,11674778,83357004,13463087,51177516,87503465,106747398,37825599,68344290,102693865,30980000,,35789032,51932317,,681488351
01/01/2020,Foreign investors,36235,171667,221976,1350138023,5347508981,8767014613,715088286,1976497107,5339820693,4068159079,10495000,29382242,52300,,27604586202
01/01/2020,rural banks,360238995,143982162,89628603,53485358,69469703,20364764,898476,3262335,,489891,7319204,,,,749139491
01/01/2020,SSNIT,2945925,111219,21884390,49110369,62250550,6543007,,7262300,,,,141195150,100000000,,391302910
01/01/2020,Pension,,,69212107,455554373,594532627,984402178,85729336,282459723,1811228961,812326960,4186697,229275888,525528546,,5854437396
01/01/2020,others,4981377794,1017564062,383410497,981897462,582332108,611808707,339868915,133662534,132635480,40181198,22483946,135751407,678659119,45640642,10041633229
01/01/2020,Total,7428599667,2900878604,7014849755,13457745095,14376983288,15807951788,1780734816,4580802038,8665116177,10212651561,162131557,2259566936,3740433064,430469716,92388444346
01/02/2020,BoG,6235706,5324114,45643131,2318276,102869121,165341167,45000,21500,2444799,2217324537,47000,57028843,,,2604643194
01/02/2020,Commercial Banks,658783572,504150343,4159491143,6844267645,4382717754,2493561118,233676359,2166721271,561793127,4844312891,72281329,1019263573,1437284215,185855685,29378304340
01/02/2020,Firms/Inst,1514420637,1113858829,1526666852,3069889854,3367549808,2679688462,426554694,606497165,842788481,410637573,45365381,638272307,944181734,194572749,17186371777
01/02/2020,Insurance companies,11366785,87799025,10836146,50439529,92903365,106747398,37825599,68344290,102693865,35784000,,35789032,51932317,,692461351
01/02/2020,Foreign investors,46566,108308,221976,476386218,5567675020,8830173898,721088286,2025260020,5358780693,4065119079,10495000,29382242,52300,,27084789606
01/02/2020,rural banks,375852231,155970368,94596606,59913409,71052418,20241533,898476,4317838,,489891,7319204,,,,790651974
01/02/2020,SSNIT,108580,111219,11866390,49130069,36955550,26783007,,6993300,,,,117475285,100000000,,349423400
01/02/2020,Pension,,,68976813,534819861,625920791,1006111502,85729336,282459723,1811228961,812326960,4186697,229096519,525871605,,5986728768
01/02/2020,others,5088177869,1034709217,383301049,1006947622,629339461,629303703,329667066,159288931,135386251,43926167,22436946,133259135,681110893,50041282,10276854310
01/02/2020,Total,7654991946,2902031423,6301600106,12094112483,14876983288,15957951788,1835484816,5319904038,8815116177,12429921098,162131557,2259566936,3740433064,430469716,94350228720
01/03/2020,BoG,18653570,5333885,3937424,2740276,88957021,165444167,45000,121500,2486799,2443347587,47000,57028843,,,2788143072
01/03/2020,Commercial Banks,690875506,419997360,4024417740,6877152258,5120901614,6728821948,470414434,2200140815,518200649,4844654176,73294264,1021747191,1446758735,1348790788,34437376690
01/03/2020,Firms/Inst,1513586727,1117966953,1527002224,3018142943,3699451104,2955894486,441315204,587953836,924004105,429980610,47477149,624564792,929516478,194556127,17816856611
01/03/2020,Insurance companies,11140928,90403424,12161424,47690034,85195771,127781542,37825599,68344290,102693865,35784000,,35789032,51932317,,706742226
01/03/2020,Foreign investors,36624,94544,11697,306032685,4364602552,8862043631,459162036,1961433757,5267877288,5886353159,10495000,29382242,52300,,27147577515
01/03/2020,rural banks,382354782,168515412,98924074,63580608,69272849,22130278,898476,4317838,,2955036,4386956,,,,817336309
01/03/2020,SSNIT,109384,111219,109066,60162000,6895550,2000000,,5000000,,,,129558285,120250000,,324195504
01/03/2020,Pension,,,50860906,502472618,676288835,1040933543,91289765,282301575,1812723565,812326960,4186697,229096519,527266485,6663803,6029747468
01/03/2020,others,5048605444,1030848527,369223719,1120031823,654792101,604019948,334534302,210290427,187129906,27916700,22244491,132400032,664656749,79511644,10406694169
01/03/2020,Total,7665362965,2833271324,6086648274,11998005245,14766357397,20509069543,1835484816,5319904038,8815116177,14483318228,162131557,2259566936,3740433064,1629522362,1.00E+11
01/04/2020,BoG,17963788,1700038,3636932,2740276,88957021,165444167,55000,121500,2486799,4270721667,77000,57028843,,,4610933031
01/04/2020,Commercial Banks,1109793347,492262979,3956399017,6825882417,6194338538,7629943875,839532966,2276265749,508359196,3002858704,65306904,939389677,382436814,382436814,34222770183
01/04/2020,Firms/Inst,1456700826,1133950131,1537447997,3055096174,4061471989,2887821386,466197757,591483756,956763585,438589943,45716490,674312283,245950888,245950888,17551503205
01/04/2020,Insurance companies,12099309,90937532,11711424,48224078,88362777,127938411,37825599,68344290,105386683,35784000,,35789032,,,662403135
01/04/2020,Foreign investors,15911,94544,11697,206664127,3803106648,8492665899,361403286,1855882257,5202490463,5886353159,9995000,29375060,44148510,44148510,25892206561
01/04/2020,rural banks,386478388,168560819,100521781,75972225,84772849,27630278,898476,11148423,,2955036,4415817,,,,863354092
01/04/2020,SSNIT,109384,111219,109066,55240000,27099550,2000000,,5000000,,,,155305285,,,244974504
01/04/2020,Pension,,,29588015,417448963,678142300,1001191046,92504848,284582118,1813890421,760033581,4186697,186484155,36698926,36698926,5304751070
01/04/2020,others,5096701663,1057549204,370948523,1310736985,858911306,682331853,337496012,227075945,225739030,486022138,32433649,181882601,920287224,920287224,11788116133
01/04/2020,Total,8079862616,2945166466,6010374452,11998005245,15885162978,21016966915,2135913944,5319904038,8815116177,14883318228,162131557,2259566936,1629522362,1629522362,1.01E+11
01/05/2020,BoG,3102250,1506617,3867025,2573072,88957021,165444167,55000,178121500,2486799,4270721667,77000,57028843,,,4773940961
01/05/2020,Commercial Banks,1176095420,508453630,3708628847,6970054635,6398863558,7875588621,1061080736,2231803129,663331852,3011983577,65306904,939648352,1393848649,436161813,36004687910
01/05/2020,Firms/Inst,1480693055,1182925400,1523146480,3060370404,4262563159,2989494874,487722494,628223573,1238429676,829407909,45716490,677434653,966719722,409895277,19372847889
01/05/2020,Insurance companies,12696763,91147987,11417309,55033975,94412777,129305101,49077702,69521909,112271683,35784000,,35789032,51932317,,748390555
01/05/2020,Foreign investors,6234,94544,17252,254264171,3583728248,8183002063,129903286,1685361958,5106625443,5885703159,9995000,29375060,52300,44148510,24868128718
01/05/2020,rural banks,382265652,166824930,98156270,79011280,87702546,31426003,898476,10053592,,2955036,4415817,,,,863709602
01/05/2020,SSNIT,112314,111219,10134066,60200000,7049550,12013000,,5000000,,,,155300285,125270000,,375190434
01/05/2020,Pension,,,10378213,468695951,709763471,1041612304,176051027,285009604,1838534871,812332051,4186697,182997373,390321150,87702806,5919882712
01/05/2020,others,5188492479,1068528465,366245444,1210453864,1064475312,800109302,338142419,226808773,256204263,34430829,32433649,181993338,812288926,651613956,11580607063
01/05/2020,Total,8243464167,3019592792,5731990906,12160657352,16297515642,21227995435,2242931140,5319904038,9217884587,14883318228,162131557,2259566936,3740433064,1629522362,1.05E+11
01/06/2020,BoG,4142172,2157203,3542177,2781072,81904021,165459167,55000,178121500,2486799,4270721667,77000,57028843,,,4768476621
01/06/2020,Commercial Banks,1467996007,510696805,3053744461,6740027157,6547940080,8289024837,1092113540,2368837966,722531605,3322521003,70009864,898076858,1344850811,512267962,36428370994
01/06/2020,Firms/Inst,1531222972,1058057920,1292873908,3085568830,4206900120,3575217705,495723177,606229715,1149394868,564318145,46223647,684809501,946620443,327549527,19243160951
01/06/2020,Insurance companies,11914824,93173867,15013083,46711767,85994961,112379817,49077702,67871750,121251683,69575932,,35789032,51932317,,760686735
01/06/2020,Foreign investors,36106,79519,17252,234457166,2872810750,9097493519,129903286,1596374824,5046090444,5776532159,9995000,6125060,20441,20000000,24769935526
