Trade Date,Currency,Pairs code,Buying,Selling,Mid Rate,
26-Apr-16,Pound Sterling,GBPGHS,5.5293,5.5367,5.533,
26-Apr-16,Euro,EURGHS,4.2916,4.2943,4.293,
27-Apr-16,USD,USDGHS,3.7951,3.7989,3.797,
27-Apr-16,Pound Sterling,GBPGHS,5.5162,5.5236,5.5199,
27-Apr-16,Euro,EURGHS,4.2911,4.2945,4.2928,
28-Apr-16,USD,USDGHS,3.7932,3.797,3.7951,
28-Apr-16,Pound Sterling,GBPGHS,5.5324,5.5398,5.5361,
28-Apr-16,Euro,EURGHS,4.2967,4.3004,4.2986,
29-Apr-16,USD,USDGHS,3.7829,3.7867,3.7848,
29-Apr-16,Pound Sterling,GBPGHS,5.531,5.5384,5.5347,
29-Apr-16,Euro,EURGHS,4.3285,4.3313,4.3299,
03-May-16,USD,USDGHS,3.7957,3.7995,3.7976,
03-May-16,Pound Sterling,GBPGHS,5.517,5.5249,5.521,
03-May-16,Euro,EURGHS,4.3689,4.3723,4.3706,
04-May-16,USD,USDGHS,3.7867,3.7905,3.7886,
04-May-16,Pound Sterling,GBPGHS,5.4797,5.4875,5.4836,
04-May-16,Euro,EURGHS,4.3518,4.3552,4.3535,
05-May-16,USD,USDGHS,3.7991,3.8029,3.801,
05-May-16,Pound Sterling,GBPGHS,5.5019,5.5093,5.5056,
05-May-16,Euro,EURGHS,4.3281,4.3322,4.3302,
06-May-16,USD,USDGHS,3.8032,3.807,3.8051,
06-May-16,Pound Sterling,GBPGHS,5.493,5.5004,5.4967,
06-May-16,Euro,EURGHS,4.3402,4.344,4.3421,
09-May-16,USD,USDGHS,3.8052,3.809,3.8071,
09-May-16,Pound Sterling,GBPGHS,5.481,5.4884,5.4847,
09-May-16,Euro,EURGHS,4.3386,4.3421,4.3404,
10-May-16,USD,USDGHS,3.806,3.8098,3.8079,
10-May-16,Pound Sterling,GBPGHS,5.5077,5.5151,5.5114,
10-May-16,Euro,EURGHS,4.3412,4.3443,4.3428,
11-May-16,USD,USDGHS,3.8057,3.8095,3.8076,
11-May-16,Pound Sterling,GBPGHS,5.5099,5.5177,5.5138,
11-May-16,Euro,EURGHS,4.3563,4.3594,4.3579,
12-May-16,Pound Sterling,GBPGHS,5.5061,5.5135,5.5098,
12-May-16,Euro,EURGHS,4.3331,4.3362,4.3347,
13-May-16,USD,USDGHS,3.8096,3.8134,3.8115,
13-May-16,Pound Sterling,GBPGHS,5.4713,5.4783,5.4748,
13-May-16,Euro,EURGHS,4.3014,4.3045,4.303,
16-May-16,USD,USDGHS,3.8073,3.8113,3.8093,
16-May-16,Pound Sterling,GBPGHS,5.4863,5.4936,5.49,
16-May-16,Euro,EURGHS,4.3148,4.3179,4.3164,
17-May-16,USD,USDGHS,3.8114,3.8152,3.8133,
17-May-16,Pound Sterling,GBPGHS,5.5178,5.5244,5.5211,
17-May-16,Euro,EURGHS,4.3205,4.3234,4.322,
18-May-16,USD,USDGHS,3.8131,3.8169,3.815,
18-May-16,Pound Sterling,GBPGHS,5.5698,5.5776,5.5737,
18-May-16,Euro,EURGHS,4.3,4.3027,4.3014,
18-May-16,USD,USDGHS,3.8131,3.8169,3.815,
18-May-16,Pound Sterling,GBPGHS,5.5698,5.5776,5.5737,
18-May-16,Euro,EURGHS,4.3,4.3027,4.3014,
19-May-16,USD,USDGHS,3.8162,3.8202,3.8182,
19-May-16,Pound Sterling,GBPGHS,5.569,5.5756,5.5723,
19-May-16,Euro,EURGHS,4.2786,4.2823,4.2805,
20-May-16,USD,USDGHS,3.8219,3.8257,3.8238,
20-May-16,Pound Sterling,GBPGHS,5.5532,5.561,5.5571,
20-May-16,Euro,EURGHS,4.2852,4.2886,4.2869,
23-May-16,USD,USDGHS,3.8249,3.8287,3.8268,
23-May-16,Pound Sterling,GBPGHS,5.5377,5.5447,5.5412,
23-May-16,Euro,EURGHS,4.2861,4.2893,4.2877,
24-May-16,USD,USDGHS,3.8266,3.8306,3.8286,
24-May-16,Pound Sterling,GBPGHS,5.591,5.5984,5.5947,
24-May-16,Euro,EURGHS,4.2696,4.273,4.2713,
26-May-16,USD,USDGHS,3.8272,3.831,3.8291,
26-May-16,Pound Sterling,GBPGHS,5.6141,5.622,5.6181,
26-May-16,Euro,EURGHS,4.2778,4.2815,4.2797,
27-May-16,USD,USDGHS,3.8318,3.8356,3.8337,
27-May-16,Pound Sterling,GBPGHS,5.6021,5.6092,5.6057,
27-May-16,Euro,EURGHS,4.2647,4.2675,4.2661,
30-May-16,USD,USDGHS,3.8318,3.8356,3.8337,
30-May-16,Pound Sterling,GBPGHS,5.6067,5.6126,5.6097,
30-May-16,Euro,EURGHS,4.2685,4.2714,4.27,
31-May-16,USD,USDGHS,3.8397,3.8435,3.8416,
31-May-16,Pound Sterling,GBPGHS,5.6171,5.6246,5.6209,
31-May-16,Euro,EURGHS,4.2852,4.2887,4.287,
01-Jun-16,USD,USDGHS,3.8356,3.8394,3.8375,
01-Jun-16,Pound Sterling,GBPGHS,5.5202,5.5276,5.5239,
01-Jun-16,Euro,EURGHS,4.2796,4.2833,4.2815,
02-Jun-16,USD,USDGHS,3.8382,3.8421,3.8402,
02-Jun-16,Pound Sterling,GBPGHS,5.5393,5.5393,5.5393,
02-Jun-16,Euro,EURGHS,4.2431,4.2861,4.2646,
03-Jun-16,USD,USDGHS,3.8432,3.8471,3.8452,
03-Jun-16,Pound Sterling,GBPGHS,5.5834,5.591,5.5872,
03-Jun-16,Euro,EURGHS,4.3549,4.3581,4.3565,
06-Jun-16,USD,USDGHS,3.8516,3.8556,3.8536,
06-Jun-16,Pound Sterling,GBPGHS,5.5644,5.5713,5.5679,
06-Jun-16,Euro,EURGHS,4.3732,4.3769,4.3751,
